Product Name,Category,Sku,Filling,Weight,PRICES,,
35X50CM,HIGHGATE INSERTS,HG1,Duck Feather,Extra Firm Fill,15.70,,
35X55CM,HIGHGATE INSERTS,HG2,Duck Feather,Extra Firm Fill,15.70,,
35X80CM,HIGHGATE INSERTS,HG3,Duck Feather,Extra Firm Fill,18.85,,
40X50CM,HIGHGATE INSERTS,HG4,Duck Feather,Extra Firm Fill,15.70,,
40X55CM,HIGHGATE INSERTS,HG5,Duck Feather,Extra Firm Fill,16.70,,
40X80CM,HIGHGATE INSERTS,HG6,Duck Feather,Extra Firm Fill,$20.20,,
45X35CM,HIGHGATE INSERTS,HG7,Duck Feather,Extra Firm Fill,14.40,,
45X65CM,HIGHGATE INSERTS,HG8,Duck Feather,Extra Firm Fill,17.85,,
50X30CM,HIGHGATE INSERTS,HG9,Duck Feather,Extra Firm Fill,14.40,,
50X50CM,HIGHGATE INSERTS,HG10,Duck Feather,Extra Firm Fill,$12.70,,
55X55CM,HIGHGATE INSERTS,HG11,Duck Feather,Extra Firm Fill,13.85,,
60X40CM,HIGHGATE INSERTS,HG12,Duck Feather,Extra Firm Fill,$16.70,,
60X60CM ,HIGHGATE INSERTS,HG13,Duck Feather,Extra Firm Fill,16.20,,
65 x 30 cm,HIGHGATE INSERTS,HG14,Duck Feather,Extra Firm Fill,14.40,,
