Product Name,Category,SKU,Filling,Weight, Customer Price 
SINGLE - 80% HUNGARIAN G/DOWN ALL SEASONS CASS. 510GRMS,Hungarian Light fill ,HUNGARIAN LITE - 01,HUNGARIAN,,121
DOUBLE -  80% HUNGARIAN G/DOWN ALL SEASONS CASS. 610GRMS,Hungarian Light fill ,HUNGARIAN LITE - 02,HUNGARIAN,,142
QUEEN - 80% HUNGARIAN G/DOWN ALL SEASONS CASS. 720GRM,Hungarian Light fill ,HUNGARIAN LITE - 03,HUNGARIAN,,170
KING -  80% HUNGARIAN G/DOWN ALL SEASONS CASS. 820GRMS,Hungarian Light fill ,HUNGARIAN LITE - 04,HUNGARIAN,,186
SUPER KING - 80% HUNGARIAN G/DOWN ALL SEAS. CASS. 1050GRMS,Hungarian Light fill ,HUNGARIAN LITE - 05,HUNGARIAN,,273
SINGLE - 80% HUNGARIAN G/DOWN WARM CASSETTE 600GRMS,Hungarian Light fill ,HUNGARIAN LITE - 06,HUNGARIAN,,159
DOUBLE - 80% HUNGARIAN G/DOWN WARM CASSETTE 750GRMS,Hungarian Light fill ,HUNGARIAN LITE - 07,HUNGARIAN,,183
QUEEN -  80% HUNGARIAN G/DOWN WARM CASSETTE 850GRM,Hungarian Light fill ,HUNGARIAN LITE - 08,HUNGARIAN,,216.5
KING -  80% HUNGARIAN G/DOWN WARM CASSETTE 950GRMS,Hungarian Light fill ,HUNGARIAN LITE - 09,HUNGARIAN,,232
SUPER KING - 80% HUNGARIAN G/DOWN WARM CASSETTE 1300GRMS,Hungarian Light fill ,HUNGARIAN LITE - 10,HUNGARIAN,,314
